Затраченные часы:,,На что:,,Суммарные часы:,12,
,,,,,,
3,,Общий анализ,,,,
4,,Экран покупок при открытии,,,,
2,,Онбординг,,,,
1,,Логотип,,,,
0.5,,Название и скриншоты в App Store,,,,
1.5,,"Конечные редактирования, связанные с правильным и понятным представлением информации",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"Название и скриншоты в App Store уже были придуманы при общем анализе. Кроме экрана покупок при открытии, всё было уже в общей концепции придумано при общем анализе, поэтому экран покупок занял больше всего времени."
